Processor,,AMD Ryzen 9 7900X3D 12-Core @ 5.66GHz (12 Cores / 24 Threads),AMD Ryzen 9 7950X3D 16-Core @ 5.76GHz (16 Cores / 32 Threads),AMD Ryzen 9 7950X 16-Core @ 5.88GHz (16 Cores / 32 Threads),AMD Ryzen 7 8700G @ 5.18GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900 12-Core @ 5.48GHz (12 Cores / 24 Threads),AMD Ryzen 5 7600X 6-Core @ 5.45GHz (6 Cores / 12 Threads),AMD Ryzen 7 7700X 8-Core @ 5.57GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900X 12-Core @ 5.73GHz (12 Cores / 24 Threads),AMD Ryzen 5 8600G @ 5.07GHz (6 Cores / 12 Threads),AMD Ryzen 7 7800X3D 8-Core @ 5.05GHz (8 Cores / 16 Threads),AMD Ryzen 7 7700 8-Core @ 5.39GHz (8 Cores / 16 Threads)
Selenium - Benchmark: Speedometer - Browser: Firefox (Runs/min),HIB,390,390,403,376,397,407,410,406,375,393,401
Selenium - Benchmark: Speedometer - Browser: Google Chrome (Runs/min),HIB,444,457,474,431,457,474,476,470,429,450,468
Selenium - Benchmark: Speedometer 3.0 - Browser: Firefox (Score),HIB,27.1,27.4,27.7,24.6,27.4,27.8,28.2,27.9,24.6,28,27.5
Selenium - Benchmark: Speedometer 3.0 - Browser: Google Chrome (Score),HIB,29.8,30.5,31.5,26.5,30.7,31.1,31.6,31.3,26.6,30.2,30.7
Selenium - Benchmark: Octane - Browser: Firefox (Geometric Mean),HIB,57677,58861,60496,57035,59836,60702,61343,60065,56323,56321,59737
Selenium - Benchmark: Octane - Browser: Google Chrome (Geometric Mean),HIB,97808,99438,103540,98707,102972,105621,106956,103736,96652,96514,104987
Selenium - Benchmark: Jetstream 2 - Browser: Firefox (Score),HIB,241.748,245.187,254.81,240.694,254.505,257.123,258.756,255.188,233.497,237.76,251.95
Selenium - Benchmark: Jetstream 2 - Browser: Google Chrome (Score),HIB,360.058,365.565,389.287,370.277,384.576,400.337,405.309,382.363,365.057,366.521,392.908
Selenium - Benchmark: PSPDFKit WASM - Browser: Firefox (Score),LIB,738,717,699,768,714,704,687,695,777,744,700
Selenium - Benchmark: PSPDFKit WASM - Browser: Google Chrome (Score),LIB,774,757,736,818,743,744,740,744,834,779,747
