Processor,Simulation_Number,Benchmark_Score
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),1,404.99
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),2,405.48
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),3,405.50
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),4,404.73
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),5,405.17
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),6,405.53
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),7,404.93
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),8,405.27
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),9,406.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),10,404.94
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),11,405.56
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),12,405.20
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),13,404.23
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),14,405.19
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),15,405.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),16,404.67
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),17,405.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),18,404.54
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),19,404.81
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),20,403.40
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),21,405.19
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),22,404.49
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),23,406.25
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),24,404.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),25,405.59
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),26,404.78
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),27,404.19
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),28,405.47
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),29,406.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),30,405.57
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),31,405.25
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),32,405.25
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),33,405.29
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),34,404.74
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),35,405.44
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),36,406.10
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),37,404.65
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),38,405.24
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),39,405.18
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),40,405.45
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),41,405.16
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),42,404.31
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),43,405.65
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),44,405.71
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),45,405.42
AMD Ryzen 7 7700X @ 5.57GHz (JetStream2),46,405.84
