Processor,Simulation_Number,Benchmark_Score
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),1,370.22
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),2,370.08
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),3,371.32
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),4,368.79
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),5,370.92
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),6,372.06
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),7,368.20
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),8,369.99
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),9,369.67
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),10,370.78
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),11,371.30
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),12,371.64
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),13,371.83
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),14,371.32
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),15,370.14
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),16,371.61
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),17,371.56
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),18,370.88
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),19,368.80
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),20,367.10
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),21,371.18
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),22,371.36
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),23,368.74
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),24,370.25
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),25,369.37
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),26,368.22
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),27,368.85
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),28,370.55
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),29,371.60
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),30,369.45
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),31,370.35
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),32,370.11
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),33,370.74
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),34,370.92
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),35,370.07
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),36,370.49
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),37,368.68
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),38,371.27
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),39,371.40
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),40,370.42
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),41,369.90
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),42,368.65
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),43,371.43
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),44,371.84
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),45,369.05
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),46,371.42
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),47,369.90
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),48,370.74
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),49,372.20
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),50,369.72
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),51,371.50
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),52,369.44
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),53,369.77
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),54,369.02
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),55,371.00
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),56,370.73
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),57,371.28
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),58,369.38
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),59,370.14
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),60,369.62
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),61,368.46
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),62,368.67
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),63,370.60
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),64,370.37
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),65,371.50
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),66,370.91
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),67,368.54
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),68,370.78
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),69,370.41
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),70,371.60
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),71,370.56
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),72,370.83
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),73,370.76
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),74,371.35
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),75,371.28
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),76,369.35
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),77,371.47
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),78,369.69
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),79,370.06
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),80,369.60
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),81,369.12
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),82,370.92
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),83,371.27
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),84,369.74
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),85,370.30
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),86,370.37
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),87,368.24
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),88,367.50
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),89,371.63
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),90,372.22
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),91,369.52
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),92,370.79
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),93,369.30
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),94,370.12
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),95,369.06
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),96,371.05
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),97,369.60
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),98,372.04
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),99,369.33
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),100,370.30
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),101,370.54
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),102,370.76
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),103,370.74
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),104,370.04
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),105,369.18
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),106,370.31
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),107,371.34
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),108,371.47
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),109,368.33
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),110,368.88
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),111,369.43
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),112,371.17
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),113,370.30
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),114,369.08
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),115,370.39
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),116,370.48
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),117,370.00
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),118,370.03
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),119,370.07
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),120,370.02
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),121,370.48
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),122,370.03
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),123,371.35
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),124,370.06
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),125,369.41
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),126,370.43
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),127,372.25
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),128,371.49
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),129,370.79
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),130,370.55
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),131,371.45
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),132,372.33
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),133,371.29
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),134,369.87
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),135,370.93
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),136,368.25
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),137,370.27
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),138,370.37
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),139,371.08
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),140,370.43
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),141,371.02
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),142,370.68
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),143,368.89
AMD Ryzen 7 8700G @ 5.18GHz (JetStream2),144,368.13
