Processor,Simulation_Number,Benchmark_Score
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),1,103737298017.52
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),2,103634981077.05
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),3,103695822241.70
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),4,103757291309.08
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),5,103808331896.21
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),6,103718060280.44
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),7,103747025300.98
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),8,103631488955.23
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),9,103776997354.14
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),10,103627835068.20
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),11,103681212685.66
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),12,103766563421.67
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),13,103597237112.67
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),14,103795740283.72
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),15,103664468242.80
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),16,103786441794.25
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),17,103787209581.88
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),18,103697592263.88
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),19,103761180385.08
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),20,103662717567.62
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),21,103740083866.88
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),22,103607159618.62
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),23,103678647930.66
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),24,103658339844.90
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),25,103676872854.94
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),26,103691414962.69
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),27,103721420406.92
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),28,103603863838.99
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),29,103642274415.15
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),30,103645907298.50
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),31,103776082220.30
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),32,103801404515.97
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),33,103784076280.02
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),34,103769268771.57
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),35,103638783981.76
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),36,103706325374.46
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),37,103587268116.66
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),38,103819770024.09
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),39,103818695769.51
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),40,103669779424.03
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),41,103694632864.82
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),42,103701994713.10
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),43,103674352273.77
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),44,103761303378.09
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),45,103697462495.94
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),46,103759758780.76
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),47,103711949334.73
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),48,103732067904.89
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),49,103757875911.54
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),50,103673104404.83
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),51,103664094189.77
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),52,103793989498.74
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),53,103666914923.66
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),54,103636249743.10
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),55,103598327994.76
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),56,103743324925.53
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),57,103681268214.87
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),58,103735148978.21
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),59,103680651328.28
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),60,103762856711.97
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),61,103658072510.55
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),62,103683705663.54
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),63,103693842923.81
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),64,103621773585.42
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),65,103735717662.72
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),66,103639748368.99
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),67,103762400830.89
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),68,103635715571.34
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),69,103749626422.15
AMD Ryzen 7 8700G @ 5.18GHz (OpenSSL 3.3 AES-256-GCM),70,103743313172.00
